gene,name
b0423,thiI
b4407,thiS
b2198,ccmD
b2200,ccmB
b2201,ccmA
b2935,tktA
b2199,ccmC
b2197,ccmE
b2465,tktB
b1713,pheT
b1714,pheS
b0576,pheP
b0996,torC
b0997,torA
b1473,yddG
b3493,pitA
b2827,thyA
b1106,thiK
b2987,pitB
b0417,thiL
b3993,thiE
b3725,pstB
b3919,tpiA
b3726,pstA
b0613,citG
b3727,pstC
b0888,trxB
b3728,pstS
b4239,treC
b3821,pldA
b2048,cpsG
b1897,otsB
b3412,bioH
b1896,otsA
b3974,coaA
b3519,treF
b1197,treA
b4240,treB
b3258,panF
b1010,rutC
b1260,trpA
b1378,pfo
b1261,trpB
b0871,poxB
b3384,trpS
b3709,tnaB
b4226,ppa
b3125,garR
b0509,glxR
b2502,ppx
b3991,thiG
b1015,putP
b1637,tyrS
b0369,hemB
b1907,tyrP
b3956,ppc
b0179,lpxD
b3639,dfp
b3403,pck
b0085,murE
b3787,wecC
b2920,scpC
b3786,wecB
b0181,lpxA
b2501,ppk
b3189,murA
b4383,deoB
b3380,yhfW
b0090,murG
b0088,murD
b0091,murC
b3972,murB
b3850,hemG
b3057,bacA
b0841,ybjG
b2536,hcaT
b0174,ispU
b1702,ppsA
b0759,galE
b0383,phoA
b2036,glf
b4005,purD
b2028,ugd
b2255,arnA
b2499,purM
b2253,arnB
b2026,hisI
b0758,galT
b2476,purC
b2557,purL
b0505,allA
b2024,hisA
b0086,murF
b0194,proS
b0096,lpxC
b2258,arnF
b4544,arnE
b1207,prs
b0908,aroA
b4233,mpl
b4160,psd
b0171,pyrH
b2256,arnD
b4388,serB
b2254,arnC
b2585,pssA
b3803,hemX
b3804,hemD
b2297,pta
b2458,eutD
b3997,hemE
b3634,coaD
b2498,upp
b0692,potE
b1011,rutB
b3073,patA
b2497,uraA
b1006,rutG
b0517,allD
b1124,potC
b0524,lpxH
b1123,potD
b4258,valS
b0857,potI
b2682,ygaZ
b1442,ydcU
b2683,ygaH
b1443,ydcV
b0856,potH
b3572,avtA
b1441,ydcT
b4197,ulaE
b0855,potG
b2882,xanQ
b1126,potA
b3565,xylA
b3579,yiaO
b0854,potF
b3578,yiaN
b1440,ydcS
b3577,yiaM
b1125,potB
b3567,xylG
b1296,puuP
b3566,xylF
b2407,xapA
b3568,xylH
b4031,xylE
b1636,pdxY
b3826,yigL
b1858,znuC
b1676,pykF
b1859,znuB
b1857,znuA
b1854,pykA
b3831,udp
b1012,rutA
b1007,rutF
b3029,ygiN
b1692,ydiB
b0750,nadA
b4094,phnN
b1662,ribC
b0415,ribE
b3752,rbsK
b0063,araB
b0061,araD
b4198,ulaF
b3583,sgbE
b3629,waaS
b2687,luxS
b3749,rbsA
b3750,rbsC
b3751,rbsB
b3748,rbsD
b3904,rhaB
b3902,rhaD
b2234,nrdA
b2235,nrdB
b2676,nrdF
b2675,nrdE
b4238,nrdD
b4237,nrdG
b3386,rpe
b4301,sgcE
b2914,rpiA
b0638,cobC
b1679,sufE
b1682,sufC
b1681,sufD
b1680,sufS
b1683,sufB
b1684,sufA
b0222,gmhA
b1745,astB
